# materials
m 0 8960 b87373 copper
m 1 2700 bcbcbc aluminium
m 2 3200 FF0024 steel

# vertex (a vector)
v 0 2 0 1
v 1 -1 1 1
v 2 1 0 2
v 3 3 1 4
v 4 0 0 0
v 5 5 0 0
v 6 5 0 5
v 7 0 0 5
v 8 2.5 6 2.5
v 9 10 0 0
v 10 10 0 10
v 11 0 0 10
v 12 0 10 0
v 13 10 10 0
v 14 10 10 10
v 15 0 10 10
v 16 20 0 0
v 17 20 0 10
v 18 20 10 0
v 19 20 10 10
v 20 0 0 10
v 21 20 0 10
v 22 20 0 20
v 23 0 0 20
v 24 0 10 10
v 25 20 10 10
v 26 20 10 20
v 27 0 10 20

# cells to be created
# c 0 t 0 0 1 2 3
# c 1 p 1 4 5 6 7 8
c 0 h 0 4 9 10 11 12 13 14 15
c 1 h 0 9 16 17 10 13 18 19 14
c 2 h 0 20 21 22 23 24 25 26 27
